MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
0,5,141.0,31770,1,1,0,3,0,0,0,15,2,2,0,2,6,5,0,1960,3,1,3,10,5,112.0,3,4,1,5,2,1,1,639.0,6,0.0,441.0,1080.0,1,1,1,4,1656,0,0,1656,1.0,0.0,1,0,3,1,4,7,7,2,2,1,1960.0,0,2.0,528.0,5,5,1,210,62,0,0,0,0,3,4,2,0,5,2010,9,4,215000
0,4,80.0,11622,1,1,3,3,0,4,0,15,1,2,0,2,5,6,0,1961,1,1,13,14,4,0.0,3,4,1,5,5,4,5,468.0,3,144.0,270.0,882.0,1,4,1,4,896,0,0,896,0.0,0.0,1,0,2,1,4,5,7,0,3,1,1961.0,3,1.0,730.0,5,5,2,140,0,0,0,120,0,3,2,2,0,6,2010,9,4,105000
0,5,81.0,14267,1,1,0,3,0,0,0,15,2,2,0,2,6,6,0,1958,3,1,14,15,1,108.0,3,4,1,5,5,4,0,923.0,6,0.0,406.0,1329.0,1,4,1,4,1329,0,0,1329,0.0,0.0,1,1,3,1,2,6,7,0,3,1,1958.0,3,1.0,312.0,5,5,2,393,36,0,0,0,0,3,4,1,12500,6,2010,9,4,172000
0,5,93.0,11160,1,1,3,3,0,0,0,15,2,2,0,2,7,5,0,1968,3,1,3,3,4,0.0,2,4,1,5,5,4,0,1065.0,6,0.0,1045.0,2110.0,1,0,1,4,2110,0,0,2110,1.0,0.0,2,1,3,1,0,8,7,2,5,1,1968.0,0,2.0,522.0,5,5,2,0,0,0,0,0,0,3,4,2,0,4,2010,9,4,244000
5,5,74.0,13830,1,1,0,3,0,4,0,8,2,2,0,5,5,5,0,1998,1,1,13,14,4,0.0,3,4,2,2,5,4,2,791.0,6,0.0,137.0,928.0,1,2,1,4,928,701,0,1629,0.0,0.0,2,1,3,1,4,6,7,1,5,1,1997.0,0,2.0,482.0,5,5,2,212,34,0,0,0,0,3,2,2,0,3,2010,9,4,189900
5,5,78.0,9978,1,1,0,3,0,4,0,8,2,2,0,5,6,6,0,1998,1,1,13,14,1,20.0,3,4,2,5,5,4,2,602.0,6,0.0,324.0,926.0,1,0,1,4,926,678,0,1604,0.0,0.0,2,1,3,1,2,7,7,1,2,1,1998.0,0,2.0,470.0,5,5,2,360,36,0,0,0,0,3,4,2,0,6,2010,9,4,195500
11,5,41.0,4920,1,1,3,3,0,4,0,25,2,2,4,2,8,5,0,2001,1,1,5,5,4,0.0,2,4,2,2,5,2,2,616.0,6,0.0,722.0,1338.0,1,0,1,4,1338,0,0,1338,1.0,0.0,2,0,2,1,2,6,7,0,3,1,2001.0,0,2.0,582.0,5,5,2,0,0,170,0,0,0,3,4,2,0,4,2010,9,4,213500
11,5,43.0,5005,1,1,0,1,0,4,0,25,2,2,4,2,8,5,0,1992,1,1,6,6,4,0.0,2,4,2,2,5,4,0,263.0,6,0.0,1017.0,1280.0,1,0,1,4,1280,0,0,1280,0.0,0.0,2,0,2,1,2,5,7,0,3,1,1992.0,2,2.0,506.0,5,5,2,0,82,0,0,144,0,3,4,2,0,1,2010,9,4,191500
11,5,39.0,5389,1,1,0,3,0,4,0,25,2,2,4,2,8,5,0,1996,1,1,5,5,4,0.0,2,4,2,2,5,4,2,1180.0,6,0.0,415.0,1595.0,1,0,1,4,1616,0,0,1616,1.0,0.0,2,0,2,1,2,5,7,1,5,1,1995.0,2,2.0,608.0,5,5,2,237,152,0,0,0,0,3,4,2,0,3,2010,9,4,236500
5,5,60.0,7500,1,1,3,3,0,4,0,8,2,2,0,5,7,5,0,1999,1,1,13,14,4,0.0,3,4,2,5,5,4,6,0.0,6,0.0,994.0,994.0,1,2,1,4,1028,776,0,1804,0.0,0.0,2,1,3,1,2,7,7,1,5,1,1999.0,0,2.0,442.0,5,5,2,140,60,0,0,0,0,3,4,2,0,6,2010,9,4,189000
